Date,Symbol,Open,High,Low,Close,Volume ETH,Volume TUSD,tradecount
9/29/2022,ETHTUSD,1337.31,1351.07,1332.15,1336.59,92.3684,123652.437,136
9/28/2022,ETHTUSD,1333.54,1355,1255.8,1336,311.8266,406513.2724,855
9/27/2022,ETHTUSD,1333.43,1401.42,1293.58,1327.29,138.0829,188673.8355,428
9/26/2022,ETHTUSD,1294.24,1339.38,1280,1336.5,282.6751,370499.0268,979
9/25/2022,ETHTUSD,1317.34,1335.92,1272.09,1292.26,180.904,236658.957,1765
9/24/2022,ETHTUSD,1329.05,1347.79,1307.62,1317.65,116.1021,154048.652,1433
9/23/2022,ETHTUSD,1326.76,1356.62,1264.4,1327.81,203.523,266779.4042,1955
9/22/2022,ETHTUSD,1246.76,1346.65,1237.51,1327.19,117.8845,150563.6956,1502
9/21/2022,ETHTUSD,1323.23,1414.49,1222,1250.66,223.2038,297304.3983,2039
9/20/2022,ETHTUSD,1375.21,1384.58,1310,1323.23,168.4292,227676.9626,1733
9/19/2022,ETHTUSD,1333.14,1403.54,1267.37,1377.64,163.5175,215716.7038,1639
9/18/2022,ETHTUSD,1468.56,1468.56,1320.01,1335.82,151.5553,215103.5212,1289
9/17/2022,ETHTUSD,1433.19,1475.56,1409.9,1470.18,143.4759,205716.0075,1081
9/16/2022,ETHTUSD,1472.9,1482.02,1409.9,1430.83,133.5446,194889.0992,1739
9/15/2022,ETHTUSD,1633.81,1654.62,1460.28,1468.64,506.198,804808.8884,2156
9/14/2022,ETHTUSD,1572.09,1645.58,1557.85,1634.54,227.5805,363240.115,1262
9/13/2022,ETHTUSD,1716.93,1756.65,1562.24,1573.46,203.1892,331635.904,1524
9/12/2022,ETHTUSD,1762.41,1782.06,1694.16,1716.94,470.9443,823981.6938,1321
9/11/2022,ETHTUSD,1776.06,1788.37,1720.63,1763.58,69.8803,123362.3954,832
9/10/2022,ETHTUSD,1718.15,1790.14,1695.29,1777.91,75.1761,130110.7114,888
9/9/2022,ETHTUSD,1634.9,1743.63,1631.37,1719.79,330.0117,562765.0633,1339
9/8/2022,ETHTUSD,1630.3,1661.18,1595.24,1635.11,155.8458,254147.1278,1557
9/7/2022,ETHTUSD,1564.8,1675.65,1490.06,1629.75,112.7927,174227.826,967
9/6/2022,ETHTUSD,1617.66,1683.01,1545.79,1557.96,143.5507,230165.1676,1270
9/5/2022,ETHTUSD,1579.79,1628.2,1556.21,1615.14,54.4608,86463.70264,584
